business_slug,offer,prospect_company,email,city_state_country,source_url,source_note,confidence,priority,max_emails_per_business,date_added,cold_mail_status,last_contacted_at,reply_status,notes
hvac-missed-call-recovery,Missed-call recovery + emergency lead triage for HVAC companies,HVAC USA,sales@hvacusa.com,USA,https://www.hvacusa.com/contactus,Public contact page/search result,medium,P2,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
hvac-missed-call-recovery,Missed-call recovery + emergency lead triage for HVAC companies,Avatex Service Company,avatexheatandac@gmail.com,"Houston, TX, USA",https://www.avatexservicecompany.com/contact-us/,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
hvac-missed-call-recovery,Missed-call recovery + emergency lead triage for HVAC companies,Mr Good Guy HVAC,mrgoodguyhvac@gmail.com,USA,https://mrgoodguyhvac.com/contact-us/,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
hvac-missed-call-recovery,Missed-call recovery + emergency lead triage for HVAC companies,Balanced Air Heating & Cooling,balancedairhvac@gmail.com,"Cleveland, OH, USA",https://balancedairhvac.com/contact/,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
hvac-missed-call-recovery,Missed-call recovery + emergency lead triage for HVAC companies,Always Cool Air and Heat LLC,alwayscoolairandheatllc@gmail.com,USA,https://www.facebook.com/groups/729884078932539/posts/1175030931084516/,Public social/search result; verify before sending,medium,P2,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
hvac-missed-call-recovery,Missed-call recovery + emergency lead triage for HVAC companies,A-Advanced Home Services,aadvancedhomeservices@gmail.com,"Mineral, VA, USA",https://www.a-advanced.com/contact/,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
hvac-missed-call-recovery,Missed-call recovery + emergency lead triage for HVAC companies,100% Service HVAC,100servicehvac@gmail.com,"Colorado, USA",https://100percentservicehvac.com/accessibility-statement/,Public site accessibility/contact info,medium,P2,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
hvac-missed-call-recovery,Missed-call recovery + emergency lead triage for HVAC companies,WeatherGuard HVAC,goweatherguardhvac@gmail.com,USA,https://www.weatherguardhvac.com/contact,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
property-maintenance-triage,Tenant maintenance request triage for property managers,Madison Property Management,mpm@madisonproperty.com,"Madison, WI, USA",https://www.madisonproperty.com/contact,Search result listed email; contact page has maintenance flow,medium,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
property-maintenance-triage,Tenant maintenance request triage for property managers,TGN Property Management,leasing.in.california@gmail.com,"Los Angeles, CA, USA",https://www.tgnpropertymanagement.com/contact-us,Public contact page/search result,medium,P2,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
property-maintenance-triage,Tenant maintenance request triage for property managers,PMI SoJay Property Management,sojaypropertymanager@gmail.com,"Swedesboro, NJ, USA",https://www.pmisojay.com/contact,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
property-maintenance-triage,Tenant maintenance request triage for property managers,Century 21 1st Choice Realty / Property Management,stormyc21@gmail.com,"Cedar City, UT, USA",https://www.suu.edu/housing/property-management-companies.html,Public university housing vendor list/search result,medium,P2,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
property-maintenance-triage,Tenant maintenance request triage for property managers,Providence Property Management,providencepmnwa@gmail.com,"Fayetteville, AR, USA",https://www.providencepropertymgmt.com/contact,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
property-maintenance-triage,Tenant maintenance request triage for property managers,Real Property Management Colorado,realpropcoloradocos@gmail.com,"Colorado Springs, CO, USA",https://www.allbusiness.com/company-profile/real-property-management-colorado,Public company profile/search result,medium,P2,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
property-maintenance-triage,Tenant maintenance request triage for property managers,The Property Management Company of Jacksonville,jacksonvillepropertymanager@gmail.com,"Jacksonville, FL, USA",https://www.tpmcjax.com/contact-us,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
property-maintenance-triage,Tenant maintenance request triage for property managers,Quechee Lakes Rentals,quecheelakerentals@gmail.com,"VT, USA",https://advancement.dartmouth.org/s/1353/images/gid2/editor_documents/real_estate_and_rentals.pdf,Public rental/vendor PDF search result; verify before sending,medium,P3,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
construction-bid-inbox,Bid inbox triage and deadline/risk detection for construction contractors,Hazard Construction,estimating@hazardconstruction.com,USA,https://hazardconstruction.com/bidding-subcontractor/,Public bidding/subcontractor page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
construction-bid-inbox,Bid inbox triage and deadline/risk detection for construction contractors,Anvil Builders,estimating@anvilbuilders.com,USA,http://www.sbeinc.com/files/PDFNewsletter/01-02-2025%20SBE%20Weekly%20Newspaper.pdf,Public bid newspaper/PDF search result; verify before sending,medium,P2,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
construction-bid-inbox,Bid inbox triage and deadline/risk detection for construction contractors,Thomas Construction Group,estimating@thomasconstructiongroup.com,USA,https://greaterdiversity.com/wp-content/uploads/Classifieds-02-22-2024-Final.pdf,Public advertisement-for-bids PDF search result; verify before sending,medium,P2,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
dental-insurance-checklist,Dental insurance verification checklist and pre-appointment QA,S.A.H. Dentistry,info@sahandwdentistry.com,"Port St. Lucie, FL, USA",https://www.sahandwdentistry.com/office,Public dental office page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
dental-insurance-checklist,Dental insurance verification checklist and pre-appointment QA,Smile 101,dentalsmile4250@gmail.com,USA,https://www.smile101.com/contact/,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
dental-insurance-checklist,Dental insurance verification checklist and pre-appointment QA,Clarity Dental DMV,info.claritydentaldmv@gmail.com,"Vienna, VA, USA",https://www.claritydentaldmv.com/contact/,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
dental-insurance-checklist,Dental insurance verification checklist and pre-appointment QA,Southern Pines Dentistry,sopinesdental@gmail.com,"Southern Pines, NC, USA",https://southernpinesdentistry.com/contact-us/,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
dental-insurance-checklist,Dental insurance verification checklist and pre-appointment QA,Bellevue Premier Dental,bellevuepremierdental@gmail.com,"Bellevue, WA, USA",https://www.bellevuepremierdental.com/contact/,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
msp-security-reporting,Security reporting assistant for managed service providers,MSPNetworks,sales@mspnetworks.com,"NY, USA",https://mspnetworks.com/contact,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
msp-security-reporting,Security reporting assistant for managed service providers,WYRE Technology,solutions@wyretechnology.com,"Chattanooga, TN, USA",https://wyretechnology.com/what-is-an-msp-2024/,Public site/search result,medium,P2,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
msp-security-reporting,Security reporting assistant for managed service providers,Exact IT Consulting,support@exactitconsulting.com,"Lexington, KY, USA",https://exactitconsulting.com/battle-benefits-house-vs-managed-it/,Public site/search result,medium,P2,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
